target,x,y,n,favourability,REE_anom,SOURCE,PATHWAY,TRAP,dom_factor,LaYb,dom_host,region,near_granite_km
R01,643985,950194,4,0.994,0.86,0.82,0.68,0.86,LREE,12.4,Metasediment,ROI,7.7
R02,719847,750694,7,0.994,0.85,0.7,0.87,0.85,HREE,11.2,Carbonate,ROI,16.7
R03,697034,814079,101,0.993,0.83,0.83,0.86,0.76,LREE,12.5,Clastic/shale,ROI,7.1
R04,625759,903234,123,0.993,0.88,0.74,0.84,0.75,LREE,12.9,Metasediment,ROI,18.2
R05,655350,888376,8,0.992,0.84,0.75,0.86,0.79,HFSE,13.7,Metasediment,NI,8.5
R06,610932,936165,5,0.992,0.92,0.75,0.68,0.74,HREE,11.9,Metasediment,ROI,2.7
R07,734183,856987,9,0.992,0.82,0.8,0.81,0.82,LREE,12.9,Clastic/shale,NI,12.2
R08,704484,784268,27,0.992,0.83,0.76,0.85,0.78,LREE,10.5,Clastic/shale,ROI,10.4
R09,577144,830047,9,0.992,0.86,0.74,0.86,0.71,LREE,13.8,Carbonate,ROI,7.3
R10,744519,842576,24,0.992,0.82,0.82,0.84,0.77,LREE,13.5,Clastic/shale,NI,11.3
R11,757788,866851,4,0.991,0.82,0.65,0.91,0.87,LREE,13.9,Clastic/shale,NI,32.6
R12,516029,779581,6,0.991,0.84,0.7,0.93,0.73,HREE,10.6,Carbonate,ROI,7.9
R13,645406,813980,7,0.991,0.86,0.74,0.8,0.73,LREE,12.3,Clastic/shale,ROI,14.0
R14,707572,834789,4,0.99,0.79,0.86,0.79,0.84,LREE,13.0,Clastic/shale,NI,2.0
R15,711702,850059,8,0.989,0.8,0.76,0.84,0.81,LREE,14.0,Clastic/shale,NI,13.4
R16,527672,726438,5,0.989,0.8,0.86,0.82,0.74,LREE,19.3,Carbonate,ROI,1.3
R17,571612,877820,4,0.988,0.92,0.71,0.71,0.64,LREE,12.2,Metasediment,ROI,9.4
